event_id,signal_id,start_ts,end_ts,duration_hours,n_points,peak_score,mean_score,severity_label
1,CF_Solar,2022-01-10 08:00:00,2022-01-10 10:00:00,2.0,3,0.621582497486024,0.5872381510656829,LOW
2,CF_Solar,2022-01-10 16:00:00,2022-01-10 16:00:00,0.0,1,0.6030782302517947,0.6030782302517947,LOW
3,CF_Solar,2022-01-11 09:00:00,2022-01-11 09:00:00,0.0,1,0.4085679036420986,0.4085679036420986,LOW
4,CF_Solar,2022-01-11 15:00:00,2022-01-11 16:00:00,1.0,2,0.8162942106057107,0.7035331539003866,LOW
5,CF_Solar,2022-01-12 16:00:00,2022-01-12 16:00:00,0.0,1,0.4639436572116304,0.4639436572116304,LOW
6,CF_Solar,2022-01-13 16:00:00,2022-01-13 16:00:00,0.0,1,0.2366295633121158,0.2366295633121158,LOW
7,CF_Solar,2022-01-14 16:00:00,2022-01-14 16:00:00,0.0,1,0.3170595242110472,0.3170595242110472,LOW
8,CF_Solar,2022-01-17 08:00:00,2022-01-17 09:00:00,1.0,2,0.452954243705151,0.45285893627098317,LOW
9,CF_Solar,2022-01-17 16:00:00,2022-01-17 16:00:00,0.0,1,0.4860835938212826,0.4860835938212826,LOW
10,CF_Solar,2022-01-18 08:00:00,2022-01-18 08:00:00,0.0,1,0.6583804425714201,0.6583804425714201,LOW
11,CF_Solar,2022-01-18 16:00:00,2022-01-18 16:00:00,0.0,1,0.5813169053678564,0.5813169053678564,LOW
12,CF_Solar,2022-01-20 16:00:00,2022-01-20 16:00:00,0.0,1,0.0592087521619113,0.0592087521619113,LOW
13,CF_Solar,2022-01-21 08:00:00,2022-01-21 08:00:00,0.0,1,0.1445136280006751,0.1445136280006751,LOW
14,CF_Solar,2022-01-21 15:00:00,2022-01-21 16:00:00,1.0,2,0.5504429190719762,0.5464960491954294,LOW
15,CF_Solar,2022-01-26 16:00:00,2022-01-26 16:00:00,0.0,1,0.1639698126666999,0.1639698126666999,LOW
16,CF_Solar,2022-01-28 07:00:00,2022-01-28 08:00:00,1.0,2,0.3389118913999711,0.3111953012056304,LOW
17,CF_Solar,2022-01-28 16:00:00,2022-01-28 16:00:00,0.0,1,0.846770591713871,0.846770591713871,LOW
18,CF_Solar,2022-01-30 07:00:00,2022-01-30 07:00:00,0.0,1,0.1135640983858441,0.1135640983858441,LOW
19,CF_Solar,2022-01-31 08:00:00,2022-01-31 08:00:00,0.0,1,0.0868779628035167,0.0868779628035167,LOW
20,CF_Solar,2022-02-02 07:00:00,2022-02-02 07:00:00,0.0,1,0.1674520290042924,0.1674520290042924,LOW
21,CF_Solar,2022-02-07 07:00:00,2022-02-07 07:00:00,0.0,1,0.0810681902192993,0.0810681902192993,LOW
22,CF_Solar,2022-02-07 17:00:00,2022-02-07 17:00:00,0.0,1,0.787391430437369,0.787391430437369,LOW
23,CF_Solar,2022-02-08 17:00:00,2022-02-08 17:00:00,0.0,1,0.4214482752974906,0.4214482752974906,LOW
24,CF_Solar,2022-02-11 17:00:00,2022-02-11 17:00:00,0.0,1,0.1249853062357864,0.1249853062357864,LOW
25,CF_Solar,2022-02-17 07:00:00,2022-02-17 07:00:00,0.0,1,0.0148973005292796,0.0148973005292796,LOW
26,CF_Solar,2022-02-28 07:00:00,2022-02-28 07:00:00,0.0,1,0.199038209016559,0.199038209016559,LOW
27,CF_Solar,2022-03-03 06:00:00,2022-03-03 06:00:00,0.0,1,2.2531783327252786,2.2531783327252786,HIGH
28,CF_Solar,2022-03-04 06:00:00,2022-03-04 08:00:00,2.0,3,2.2572372077830622,1.7564694717674,HIGH
29,CF_Solar,2022-03-04 17:00:00,2022-03-04 17:00:00,0.0,1,1.7693040313762058,1.7693040313762058,HIGH
